"board","source_key","source_label","source_board","t_trigger","t_candidate","t_commit","t_sawdone","candidate_word","commit_word","our_word","actual_word","q_saw_word","match","our_length_mm","our_width_mm","our_error","our_saws","actual_saws","dy_left_px","dy_right_px","dx_far_right_px","dx_far_right_mm","left_frame_offset_s","right_frame_offset_s","proxy_count","profile_read","notes"
"1","live20","live 20-board run","1","2026-07-13T19:10:27.358","","","2026-07-13T19:10:31.849","","","","0x0101","0x0801","CAPTURED","0","0","0","","0.0+5.4","-30.5","-31.5","200","644.0","0.726","0.724","3768305","0x0101","source=live20 board=1; capture-only; no image measurement"
"2","live20","live 20-board run","2","2026-07-13T19:10:40.833","","","2026-07-13T19:10:45.360","","","","0x03F8","0x1F18","CAPTURED","0","0","0","","0.9+3.0+3.6+4.2+4.8+5.4+6.0","-25.0","1.5","200","644.0","0.726","0.722","3768440","0x03F8","source=live20 board=2; capture-only; no image measurement"
"3","live20","live 20-board run","3","2026-07-13T19:10:51.817","","","2026-07-13T19:10:57.864","","","","0x03F8","0x1F18","CAPTURED","0","0","0","","0.9+3.0+3.6+4.2+4.8+5.4+6.0","-24.5","-19.0","188","605.3","0.715","0.736","3768565","0x03F8","source=live20 board=3; capture-only; no image measurement"
"4","live20","live 20-board run","4","2026-07-13T19:11:07.207","","","2026-07-13T19:11:13.190","","","","0x0201","0x1001","CAPTURED","0","0","0","","0.0+6.0","-28.0","-35.0","184","592.5","0.727","0.723","3768718","0x0201","source=live20 board=4; capture-only; no image measurement"
"7","live20","live 20-board run","7","2026-07-13T19:11:40.403","","","2026-07-13T19:11:55.218","","","","0x0201","0x1001","CAPTURED","0","0","0","","0.0+6.0","-26.5","-33.0","188","605.3","0.737","0.733","3769137","0x0201","source=live20 board=7; capture-only; no image measurement"
"8","live20","live 20-board run","8","2026-07-13T19:12:06.985","","","2026-07-13T19:12:11.517","","","","0x0201","0x1001","CAPTURED","0","0","0","","0.0+6.0","-23.0","-22.0","188","605.3","0.721","0.755","3769299","0x0201","source=live20 board=8; capture-only; no image measurement"
"9","live20","live 20-board run","9","2026-07-13T19:12:15.820","","","2026-07-13T19:12:23.984","","","","0x0201","0x1001","CAPTURED","0","0","0","","0.0+6.0","-29.0","-29.0","180","579.6","0.723","0.722","3769424","0x0201","source=live20 board=9; capture-only; no image measurement"
"10","live20","live 20-board run","10","2026-07-13T19:12:31.271","","","2026-07-13T19:12:46.869","","","","0x0381","0x1C01","CAPTURED","0","0","0","","0.0+4.8+5.4+6.0","-26.5","-14.0","200","644.0","0.729","0.726","3769652","0x0381","source=live20 board=10; capture-only; no image measurement"
"11","live20","live 20-board run","11","2026-07-13T19:12:42.361","","","2026-07-13T19:12:54.961","","","","0x0101","0x0801","CAPTURED","0","0","0","","0.0+5.4","-26.5","-7.5","200","644.0","0.728","0.727","3769733","0x0101","source=live20 board=11; capture-only; no image measurement"
"14","live20","live 20-board run","14","2026-07-13T19:13:37.533","","","2026-07-13T19:14:32.207","","","","0x0101","0x0801","CAPTURED","0","0","0","","0.0+5.4","-27.0","-28.5","184","592.5","0.729","0.728","3770704","0x0101","source=live20 board=14; capture-only; no image measurement"
"15","live20","live 20-board run","15","2026-07-13T19:14:12.841","","","2026-07-13T19:14:36.658","","","","0x0101","0x0801","CAPTURED","0","0","0","","0.0+5.4","-29.0","-30.2","200","644.0","0.738","0.734","3770748","0x0101","source=live20 board=15; capture-only; no image measurement"
"16","live20","live 20-board run","16","2026-07-13T19:14:41.712","","","2026-07-13T19:14:49.863","","","","0x0201","0x1001","CAPTURED","0","0","0","","0.0+6.0","-24.5","-2.0","188","605.3","0.728","0.729","3770880","0x0201","source=live20 board=16; capture-only; no image measurement"
"17","live20","live 20-board run","17","2026-07-13T19:14:55.049","","","2026-07-13T19:15:00.870","","","","0x0081","0x0401","CAPTURED","0","0","0","","0.0+4.8","-22.0","-9.5","184","592.5","0.728","0.725","3770990","0x0081","source=live20 board=17; capture-only; no image measurement"
"18","live20","live 20-board run","18","2026-07-13T19:15:12.769","","","2026-07-13T19:15:32.575","","","","0x03E1","0x1F01","CAPTURED","0","0","0","","0.0+3.6+4.2+4.8+5.4+6.0","-23.0","-13.0","180","579.6","0.718","0.717","3771306","0x03E1","source=live20 board=18; capture-only; no image measurement"
"19","live20","live 20-board run","19","2026-07-13T19:15:28.009","","","2026-07-13T19:15:42.828","","","","0x0101","0x0801","CAPTURED","0","0","0","","0.0+5.4","-29.0","-20.2","200","644.0","0.721","0.751","3771409","0x0101","source=live20 board=19; capture-only; no image measurement"
"20","live20","live 20-board run","20","2026-07-13T19:15:50.187","","","2026-07-13T19:15:58.385","","","","0x0201","0x1001","CAPTURED","0","0","0","","0.0+6.0","-26.0","-11.0","188","605.3","0.73","0.732","3771564","0x0201","source=live20 board=20; capture-only; no image measurement"
